KOD;nazwa
K00;Zaburzenia rozwoju i wyrzynania się zębów
K00.0;Brak zębów
K00.1;Zęby nadliczbowe
K00.2;Nieprawidłowości wielkości i kształtu zębów
K00.3;Zęby ze szkliwem plamkowym
K00.4;Zaburzenia rozwoju zęba
K00.5;Dziedziczne zaburzenia w strukturze zęba niesklasyfikowane gdzie indziej
K00.6;Zaburzenia w wyrzynaniu się zębów
K00.7;Zespół ząbkowania
K00.8;Inne zaburzenia w rozwoju zębów
K00.9;Zaburzenia rozwoju zęba, nie określone
K01;Wtopione i zaklinowane zęby
K01.0;Wtopione zęby
K01.1;Zaklinowane zęby
K02;Próchnica zębów
K02.0;Próchnica ograniczona do szkliwa
K02.1;Próchnica zębiny
K02.2;Próchnica cementu
K02.3;Zatrzymana próchnica zębów
K02.4;Odontoklazja
K02.8;Inne próchnice zębów
K02.9;Próchnica zębów, nie określona
K03;Inne choroby tkanek twardych zębów
K03.0;Starcie zębów pochodzenia pokarmowego
K03.1;Starcie zębów pochodzenia mechanicznego
K03.2;Nadżerka zębów
K03.3;Patologiczna resorpcja
K03.4;Przerost cementu korzeniowego [hypercementosis]
K03.5;Zrośnięcie zęba z kością [ankiloza zębów]
K03.6;Złogi nazębne
K03.7;Zmiany zabarwienia tkanek twardych po wyrżnięciu się zęba
K03.8;Inne określone choroby tkanek twardych zębów
K03.9;Choroba tkanek twardych zębów, nie określona
K04;Choroby miazgi i tkanek okołowierzchołkowych
K04.0;Zapalenie miazgi [pulpitis]
K04.1;Martwica miazgi
K04.2;Zwyrodnienie miazgi
K04.3;Tworzenie się nieprawidłowej tkanki twardej w miazdze
K04.4;Ostre przywierzchołkowe zapalenie ozębnej pochodzenia miazgowego
K04.5;Przewlekłe przywierzchołkowe zapalenie ozębnej
K04.6;Ropień okołowierzchołkowy z zajęciem zatoki szczękowej
K04.7;Ropień okołowierzchołkowy bez zajęcia zatoki szczękowej
K04.8;Torbiel korzeniowa
K04.9;Inne i nieokreślone choroby miazgi i tkanek okołowierzchołkowych
K05;Zapalenie dziąseł i choroby przyzębia
K05.0;Ostre zapalenie dziąseł
K05.1;Przewlekłe zapalenie dziąseł
K05.2;Ostre zapalenie przyzębia
K05.3;Przewlekłe zapalenie przyzębia
K05.4;Desmodontoza
K05.5;Inne choroby przyzębia
K05.6;Choroba przyzębia, nie określona
K06;Inne zaburzenia dziąsła i bezzębny wyrostek zębodołowy
K06.0;Zanik dziąseł
K06.1;Przerost dziąseł
