Podrozdział;;Kategoria główna;
nr;tytuł;nr;tytuł
23.01;Badanie, orzeczenia, czynności szczegółowe;23.0101 ;Badanie lekarskie stomatologiczne, które obejmuje również instruktaż higieny jamy ustnej
23.01;Badanie, orzeczenia, czynności szczegółowe;23.0102;Badanie lekarskie kontrolne
23.01;Badanie, orzeczenia, czynności szczegółowe;23.0103;Porada lekarska
23.01;Badanie, orzeczenia, czynności szczegółowe;23.0104;Wydanie orzeczenia lekarskiego
23.01;Badanie, orzeczenia, czynności szczegółowe;23.0105;Konsultacja specjalistyczna
23.01;Badanie, orzeczenia, czynności szczegółowe;23.0106;Wydanie krótkiego zaświadczenia lub świadectwa
23.03;Rentgenodiagnostyka;23.0301;Rentgenodiagnostyka do 2 zdjęć wewnątrzustnych
23.03;Rentgenodiagnostyka;23.0302;Rentgenodiagnostyka do 5 zdjęć wewnątrzustnych
23.03;Rentgenodiagnostyka;23.0303;Rentgenodiagnostyka do 8 zdjęć wewnątrzustnych
23.03;Rentgenodiagnostyka;23.0304;Rentgenodiagnostyka - zdjęcie pantomograficzne z opisem
23.04;Iniekcja leku;23.0401;Znieczulenie miejscowe powierzchniowe
23.04;Iniekcja leku;23.0402;Znieczulenie miejscowe nasiękowe
23.04;Iniekcja leku;23.0403;Znieczulenie przewodowe wewnątrzustne
23.04;Iniekcja leku;23.0404;Znieczulenie przewodowe zewnątrzustne
23.09;Inne zabiegi fizykalne;23.0901;Balneoterapia lub hydroterapia
23.09;Inne zabiegi fizykalne;23.0902;Naświetlanie Sollux
23.09;Inne zabiegi fizykalne;23.0903;Jonoforeza nadziąsłowa
23.09;Inne zabiegi fizykalne;23.0904;Jonoforeza lub elektrosterylizacja kanału korzeniowego
23.09;Inne zabiegi fizykalne;23.0905;Diadynamik 1/2 łuku zębowego
23.09;Inne zabiegi fizykalne;23.0906;Hydroterapia
23.09;Inne zabiegi fizykalne;23.0907;Laseroterapia biostymulacyjna
23.10;Profilaktyka stomatologiczna;23.1001;Indywidualna fluoryzacja metodą kontaktową - za każdy zabieg
23.10;Profilaktyka stomatologiczna;23.1002;Fluoryzacja kontaktowa zbiorowa, 1 zabieg u każdego dziecka
23.10;Profilaktyka stomatologiczna;23.1003;Zabezpieczenie profilaktyczne bruzd lakiem szczelinowym - za każdy ząb
23.10;Profilaktyka stomatologiczna;23.1004;Zabezpieczanie profilaktyczne bruzd innymi materiałami
23.10;Profilaktyka stomatologiczna;23.1006;Lakierowanie zębów 1/4 łuku zębowego
23.10;Profilaktyka stomatologiczna;23.1007;Leczenie nadwrażliwości zębów w obrębie 1/4 łuku zębowego
23.10;Profilaktyka stomatologiczna;23.1008;Impregnacja zębiny
23.10;Profilaktyka stomatologiczna;23.1009;Profilaktyczne świadczenie stomatologiczne dla dziecka w 6. miesiącu życia
23.10;Profilaktyka stomatologiczna;23.1010;Profilaktyczne świadczenie stomatologiczne dla dziecka w 9. miesiącu życia
23.10;Profilaktyka stomatologiczna;23.1011;Profilaktyczne świadczenie stomatologiczne dla dziecka w 12. miesiącu życia
23.10;Profilaktyka stomatologiczna;23.1012;Profilaktyczne świadczenie stomatologiczne dla dziecka w 2. roku życia
23.10;Profilaktyka stomatologiczna;23.1013;Profilaktyczne świadczenie stomatologiczne dla dziecka w 4. roku życia
23.10;Profilaktyka stomatologiczna;23.1014;Profilaktyczne świadczenie stomatologiczne dla dziecka w 5. roku życia
23.10;Profilaktyka stomatologiczna;23.1015;Profilaktyczne świadczenie stomatologiczne dla dziecka w 6. roku życia
23.10;Profilaktyka stomatologiczna;23.1016;Profilaktyczne świadczenie stomatologiczne dla dziecka w 7. roku życia
23.10;Profilaktyka stomatologiczna;23.1017;Profilaktyczne świadczenie stomatologiczne dla dziecka w 10. roku życia
23.10;Profilaktyka stomatologiczna;23.1018;Profilaktyczne świadczenie stomatologiczne dla młodzieży w 12. roku życia
23.10;Profilaktyka stomatologiczna;23.1019;Profilaktyczne świadczenie stomatologiczne dla młodzieży w 13. roku życia
23.10;Profilaktyka stomatologiczna;23.1020;Profilaktyczne świadczenie stomatologiczne dla młodzieży w 16. roku życia
23.10;Profilaktyka stomatologiczna;23.1021;Profilaktyczne świadczenie stomatologiczne dla młodzieży w 19. roku życia
23.10;Profilaktyka stomatologiczna;23.1022;Profilaktyczne świadczenie stomatologiczne zapobiegające wadom zgryzu
23.11;Leczenie próchnicy zębów;23.1101;Leczenie próchnicy powierzchniowej - za każdy ząb
23.11;Leczenie próchnicy zębów;23.1102;Całkowite opracowanie ubytku próchnicowego z założeniem podkładu
23.11;Leczenie próchnicy zębów;23.1103;Całkowite opracowanie rozległego ubytku próchnicowego z założeniem podwójnego podkładu
23.11;Leczenie próchnicy zębów;23.1104;Postępowanie przy próchnicy głębokiej - pośrednie pokrycie miazgi
23.11;Leczenie próchnicy zębów;23.1105;Postępowanie przy obnażeniu i skaleczeniu miazgi - bezpośrednie pokrycie miazgi
23.11;Leczenie próchnicy zębów;23.1106;Opatrunek leczniczy w zębie stałym
23.11;Leczenie próchnicy zębów;23.1107;Opatrunek leczniczy w zębie mlecznym
23.11;Leczenie próchnicy zębów;23.1108;Wypełnienie ubytku korony zęba mlecznego
23.11;Leczenie próchnicy zębów;23.1109 ;Wypełnienie ubytku korony zęba na 1 powierzchni
23.11;Leczenie próchnicy zębów;23.1110;Wypełnienie ubytku korony zęba na 2 powierzchniach
23.11;Leczenie próchnicy zębów;23.1111;Wypełnienie ubytku korony zęba na 3 powierzchniach
23.11;Leczenie próchnicy zębów;23.1112;Wypełnienie ubytku korony zęba na więcej niż 3 powierzchniach
23.12;Inne zabiegi stomatologii zachowawczej;23.1201;Trepanacja martwego zęba z zaopatrzeniem ubytku opatrunkiem
23.12;Inne zabiegi stomatologii zachowawczej;23.1202;Dewitalizacja miazgi zęba z zaopatrzeniem ubytku opatrunkiem
23.12;Inne zabiegi stomatologii zachowawczej;23.1203;Amputacja przyżyciowa miazgi w zębie z nieuformowanym korzeniem
23.12;Inne zabiegi stomatologii zachowawczej;23.1204;Amputacja przyżyciowa miazgi
23.12;Inne zabiegi stomatologii zachowawczej;23.1205;Ekstyrpacja przyżyciowa miazgi w zębie z nieuformowanym korzeniem
23.12;Inne zabiegi stomatologii zachowawczej;23.1206;Ekstyrpacja przyżyciowa miazgi
23.12;Inne zabiegi stomatologii zachowawczej;23.1207;Amputacja zdewitalizowanej miazgi zęba
23.12;Inne zabiegi stomatologii zachowawczej;23.1208;Ekstyrpacja zdewitalizowanej miazgi zęba z nieuformowanym korzeniem
23.12;Inne zabiegi stomatologii zachowawczej;23.1209;Ekstyrpacja zdewitalizowanej miazgi zęba
23.12;Inne zabiegi stomatologii zachowawczej;23.1210;Amputacja zdewitalizowanej miazgi zęba mlecznego
23.13;Leczenie kanałowe;23.1301;Całkowite opracowanie i dezynfekcja kanału
23.13;Leczenie kanałowe;23.1302;Leczenie zgorzeli
23.13;Leczenie kanałowe;23.1303;Leczenie zgorzeli całkowitej niepowikłanej zęba z nieuformowanym korzeniem
23.13;Leczenie kanałowe;23.1304;Dodatkowe fizykochemiczne metody udrażniania i opracowywania kanału
23.13;Leczenie kanałowe;23.1305;Ponowne udrożnienie wypełnionego kanału
23.13;Leczenie kanałowe;23.1306;Czasowe wypełnienie kanału
23.13;Leczenie kanałowe;23.1307;Wypełnienie kanału
23.13;Leczenie kanałowe;23.1308;Leczenie endodontyczne z wypełnieniem 2 kanałów
23.13;Leczenie kanałowe;23.1309;Leczenie endodontyczne z wypełnieniem 3 kanałów
23.13;Leczenie kanałowe;23.1310;Leczenie endodontyczne metodą amputacyjno-ekstyrpacyjną
23.13;Leczenie kanałowe;23.1311;Leczenie endodontyczne zęba z wypełnieniem 1 kanału ze zgorzelą miazgi
23.13;Leczenie kanałowe;23.1312;Leczenie endodontyczne zęba z wypełnieniem 2 kanałów ze zgorzelą miazgi
23.13;Leczenie kanałowe;23.1313;Leczenie endodontyczne zęba z wypełnieniem 3 kanałów ze zgorzelą miazgi
23.15;Odbudowa i kosmetyka zęba;23.1501;Odbudowa zniszczonego, złamanego kąta w zębach siecznych
23.15;Odbudowa i kosmetyka zęba;23.1502;Całkowite opracowanie i odbudowa ubytku zęba na 1 powierzchni
23.15;Odbudowa i kosmetyka zęba;23.1503;Całkowite opracowanie i odbudowa ubytku na 2 powierzchniach
23.15;Odbudowa i kosmetyka zęba;23.1504;Całkowite opracowanie i odbudowa rozległego ubytku na 2 powierzchniach
23.15;Odbudowa i kosmetyka zęba;23.1505;Całkowite opracowanie i odbudowa rozległego ubytku na 3 powierzchniach
23.15;Odbudowa i kosmetyka zęba;23.1506;Całkowite opracowanie i odbudowa rozległego ubytku na więcej niż 3 powierzchniach
23.15;Odbudowa i kosmetyka zęba;23.1507;Całkowite opracowanie i odbudowa zniszczonego kąta w zębach siecznych
23.15;Odbudowa i kosmetyka zęba;23.1508;Kosmetyczne pokrycie niedorozwoju szkliwa
23.15;Odbudowa i kosmetyka zęba;23.1509;Kosmetyczna korekta przebarwienia zębiny w zębach przednich
23.15;Odbudowa i kosmetyka zęba;23.1510;Likwidacja diastemy
23.15;Odbudowa i kosmetyka zęba;23.1511;Wybielanie zęba metodą wewnętrzną
23.15;Odbudowa i kosmetyka zęba;23.1512;Wybielanie grupy zębów metodą zewnętrzną
23.16;Zabieg parodontologiczny;23.1601;Usunięcie złogów nazębnych z 1/2 łuku zębowego
23.16;Zabieg parodontologiczny;23.1602;Usunięcie złogów nazębnych ze wszystkich zębów
23.16;Zabieg parodontologiczny;23.1603;Polerowanie zębów
23.16;Zabieg parodontologiczny;23.1604;Płukanie kieszonki dziąsłowej i aplikacja leku
23.16;Zabieg parodontologiczny;23.1605;Leczenie zmian na błonie śluzowej jamy ustnej
23.16;Zabieg parodontologiczny;23.1606;Korekta zgryzu
23.16;Zabieg parodontologiczny;23.1607;Kiretaż zwykły w obrębie 1/4 uzębienia
23.16;Zabieg parodontologiczny;23.1608;Kiretaż otwarty w obrębie 1/4 uzębienia
23.16;Zabieg parodontologiczny;23.1609;Gingwoplastyka
23.16;Zabieg parodontologiczny;23.1610;Gingwoosteoplastyka
23.16;Zabieg parodontologiczny;23.1611;Podcięcie wędzidełka, wargi, języka, policzka
23.16;Zabieg parodontologiczny;23.1612;Plastyka wędzidełka ,wargi ,policzka
23.16;Zabieg parodontologiczny;23.1613;Plastyka przedsionka jamy ustnej met. Clarka, Kazanjana
23.16;Zabieg parodontologiczny;23.1614;Plastyka przedsionka jamy ustnej met. Nabersa
23.16;Zabieg parodontologiczny;23.1615;Unieruchomienie zębów ligaturą drucianą
23.16;Zabieg parodontologiczny;23.1616;Unieruchomienie zębów materiałem złożonym (kompozytowym)
23.16;Zabieg parodontologiczny;23.1617;Unieruchomienie zębów szyną z materiału złożonego z dodatkowymi wzmocnieniami
23.16;Zabieg parodontologiczny;23.1618;Zabieg wszczepiania hydroksyapatytu, bioglassu lub tp.
23.16;Zabieg parodontologiczny;23.1619;Zabieg pokrycia obnażonych korzeni zębów metodą bocznie przesuniętego płata
23.16;Zabieg parodontologiczny;23.1620;Założenie opatrunku parodontologicznego
23.17;Chirurgiczne usunięcie zęba;23.1701;Usunięcie zęba jednokorzeniowego
23.17;Chirurgiczne usunięcie zęba;23.1702;Usunięcie zęba wielokorzeniowego
23.17;Chirurgiczne usunięcie zęba;23.1703;Usunięcie głęboko złamanego zęba poprzez dłutowanie wewnątrzzębodołowe przy zastosowaniu wierteł, dźwigni
23.17;Chirurgiczne usunięcie zęba;23.1704;Usunięcie zęba przez dłutowanie zewnątrzzębodołowe z wytworzeniem płata śluzówkowo-okostnowego
23.17;Chirurgiczne usunięcie zęba;23.1705;Operacyjne usunięcie zęba zatrzymanego
23.17;Chirurgiczne usunięcie zęba;23.1706;Operacyjne odsłonięcie zatrzymanego zęba z założeniem pętli drucianej dla celów ortodontycznych
23.17;Chirurgiczne usunięcie zęba;23.1707;Operacyjne usunięcie zawiązków zębów ze wskazań ortodontycznych
23.17;Chirurgiczne usunięcie zęba;23.1708;Usunięcie zębów w znieczuleniu ogólnym u pacjentów z niedorozwojem umysłowym
23.18;Inne czynności chirurgii stomatologicznej;23.1801;Zamknięcie zatoki otwartej w przebiegu chirurgicznego usuwania zęba
