Zęby;
ID_Z;Opis
11;górna prawa jedynka
12;górna prawa dwójka
13;górna prawa trójka
14;górna prawa czwórka
15;górna prawa piątka
16;górna prawa szóstka
17;górna prawa siódemka
18;górna prawa ósemka
21;górna lewa jedynka
22;górna lewa dwójka
23;górna lewa trójka
24;górna lewa czwórka
25;górna lewa piątka
26;górna lewa szóstka
27;górna lewa siódemka
28;górna lewa ósemka
31;dolna lewa jedynka
32;dolna lewa dwójka
33;dolna lewa trójka
34;dolna lewa czwórka
35;dolna lewa piątka
36;dolna lewa szóstka
37;dolna lewa siódemka
38;dolna lewa ósemka
41;dolna prawa jedynka
42;dolna prawa dwójka
43;dolna prawa trójka
44;dolna prawa czwórka
45;dolna prawa piątka
46;dolna prawa szóstka
47;dolna prawa siódemka
48;dolna prawa ósemka
